Höhe   ;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;
1900;394;394;406;419;432;446;468;480;493;507;521;535;549;
2000;394;394;406;419;432;446;468;480;493;507;521;535;549;
2100;409;409;422;435;448;463;486;498;511;525;239;553;567;
2200;421;421;433;449;461;476;500;513;526;540;554;568;582;
2300;439;439;453;468;482;497;520;533;548;562;576;590;604;
2400;451;451;465;481;494;511;534;548;562;576;590;604;618;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
