Höhe   ;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;
600;198;198;205;212;219;227;244;250;257;264;271;277;284;292;299;306;312;328;335;
700;198;198;205;212;219;227;244;250;257;264;271;277;284;292;299;306;312;328;335;
800;211;211;218;224;232;241;259;265;272;280;287;295;302;310;317;324;332;348;354;
900;234;234;242;248;257;266;284;291;298;307;315;323;330;339;346;354;362;378;385;
1000;247;247;254;263;270;280;298;305;314;323;330;339;346;357;364;372;380;397;405;
1100;255;255;263;272;281;290;314;323;331;341;348;358;366;377;386;394;402;419;428;
1200;267;267;276;285;294;305;329;337;346;355;365;373;382;394;403;412;421;438;447;
1300;281;281;290;300;309;320;344;353;362;373;382;391;401;413;422;432;440;458;468;
1400;293;293;302;312;322;334;359;368;378;368;398;408;417;430;440;450;459;477;487;
1500;307;307;317;328;338;351;377;387;397;408;418;428;438;451;461;472;483;501;511;
1600;320;320;331;342;352;366;391;402;412;423;434;444;455;468;479;490;500;0;0;
1700;349;349;360;371;382;395;416;427;438;450;460;472;483;497;507;0;0;0;0;
1800;361;361;373;384;396;409;429;442;453;465;476;488;0;0;0;0;0;0;0;
1900;381;381;393;407;419;433;454;466;478;489;501;0;0;0;0;0;0;0;0;
2000;394;394;406;419;432;446;468;480;493;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
