Höhe   ;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100
600;118,56;124,80;130,26;137,28;144,30;150,54;157,56;163,80;170,82;177,06;183,30;190,32;196,56;202,80;209,82;216,06;223,08;229,32;235,56;242,58;249,60;255,84
700;129,48;135,72;143,52;149,76;156,78;164,58;170,82;178,62;184,86;191,88;198,90;205,92;213,72;219,96;226,98;234,00;241,02;248,04;255,06;261,30;269,10;275,34
800;140,40;147,42;155,22;163,02;169,26;177,06;184,86;191,88;199,68;206,70;214,50;221,52;229,32;237,12;243,36;251,16;258,96;265,98;273,78;280,80;288,60;296,40
900;151,32;159,12;166,92;174,72;183,30;191,10;198,12;206,70;213,72;222,30;230,10;237,12;245,70;253,50;262,08;269,10;276,90;284,70;292,50;301,08;308,88;315,90
1000;162,24;170,82;178,62;187,20;195,78;204,36;212,16;219,96;228,54;237,12;244,92;253,50;262,08;270,66;278,46;287,04;294,84;302,64;311,22;319,80;328,38;336,18
1100;173,16;182,52;191,10;198,90;209,04;216,84;226,20;234,78;242,58;251,94;260,52;269,88;278,46;286,26;295,62;304,20;313,56;321,36;329,94;339,30;347,88;357,24
1200;184,08;193,44;202,80;212,16;221,52;230,88;240,24;248,04;257,40;266,76;276,12;284,70;294,84;303,42;312,78;322,14;331,50;340,08;348,66;358,02;367,38;376,74
1300;195,78;205,14;214,50;223,86;234,00;243,36;253,50;262,86;272,22;282,36;290,94;301,08;310,44;319,80;329,94;339,30;349,44;358,80;368,16;377,52;387,66;397,02
1400;206,70;216,84;226,98;237,12;247,26;257,40;267,54;277,68;287,82;297,18;306,54;316,68;327,60;337,74;347,88;357,24;367,38;377,52;387,66;397,02;407,16;417,30
1500;217,62;228,54;238,68;249,60;260,52;269,88;280,80;290,94;301,86;312,00;322,14;333,06;343,98;354,12;364,26;374,40;385,32;395,46;406,38;416,52;426,66;438,36
1600;229,32;239,46;250,38;261,30;273,00;283,92;294,84;305,76;316,68;327,60;338,52;348,66;359,58;370,50;381,42;392,34;403,26;414,18;425,10;436,02;447,72;457,86
1700;241,02;251,94;262,86;274,56;285,48;297,18;308,10;319,02;330,72;341,64;354,12;365,04;375,96;387,66;398,58;410,28;421,20;432,12;443,82;455,52;467,22;478,14
1800;251,94;263,64;274,56;286,26;297,96;310,44;322,14;333,84;345,54;357,24;368,94;380,64;392,34;404,04;415,74;427,44;439,14;450,84;463,32;475,02;486,72;498,42
1900;262,86;274,56;287,04;298,74;311,22;323,70;335,40;348,66;360,36;372,06;384,54;396,24;409,50;421,20;432,90;445,38;457,08;470,34;482,04;493,74;507,00;518,70
2000;273,78;286,26;299,52;312,00;323,70;336,96;349,44;361,92;374,40;387,66;400,14;412,62;425,88;438,36;450,06;462,54;475,80;488,28;500,76;513,24;526,50;538,98
2100;284,70;297,96;311,22;323,70;337,74;350,22;362,70;376,74;389,22;402,48;415,74;428,22;442,26;454,74;468,00;480,48;493,74;507,00;519,48;533,52;546,00;558,48
2200;296,40;309,66;322,92;336,96;351,00;364,26;376,74;390,78;404,04;417,30;431,34;444,60;458,64;471,90;485,16;499,20;511,68;524,94;538,98;552,24;566,28;
2300;307,32;321,36;335,40;348,66;363,48;376,74;391,56;404,82;418,08;432,90;446,16;460,98;474,24;488,28;502,32;516,36;530,40;543,66;557,70;;;
