Höhe   ;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400
600;72,54;78,78;85,80;92,04;99,06;105,30;111,54;117,78;124,80;131,82;138,06;144,30;150,54;157,56;163,80;170,82;177,06;184,08;184,08
700;78,78;85,80;92,82;99,84;106,86;113,88;120,90;127,92;134,94;141,96;148,98;156,00;163,02;170,04;177,06;183,30;191,10;198,12;198,12
800;85,80;92,82;100,62;107,64;114,66;122,46;130,26;137,28;145,08;152,10;159,90;166,92;174,72;181,74;188,76;196,56;204,36;211,38;211,38
900;92,04;99,84;107,64;115,44;123,24;131,04;138,84;146,64;154,44;163,02;170,82;178,62;186,42;194,22;202,02;209,82;217,62;225,42;225,42
1000;99,06;106,86;114,66;123,24;131,82;139,62;148,20;156,00;164,58;173,16;181,74;189,54;197,34;205,92;214,50;223,08;231,66;239,46;239,46
1100;105,30;113,88;122,46;131,04;139,62;148,98;156,78;166,14;174,72;183,30;192,66;200,46;209,82;218,40;226,98;235,56;244,14;253,50;253,50
1200;111,54;120,90;130,26;138,84;148,20;156,78;166,14;175,50;184,86;194,22;202,80;212,16;221,52;230,88;239,46;248,82;258,18;267,54;267,54
1300;117,78;127,92;137,28;146,64;156,00;166,14;175,50;184,86;195,00;204,36;213,72;223,08;233,22;242,58;251,94;261,30;271,44;280,80;280,80
1400;124,80;134,94;145,08;154,44;164,58;174,72;184,86;195,00;205,14;215,28;225,42;234,78;244,92;255,06;265,20;275,34;285,48;295,62;295,62
1500;131,82;141,96;152,10;163,02;173,16;183,30;194,22;204,36;215,28;225,42;236,34;246,48;256,62;266,76;277,68;287,82;298,74;308,88;308,88
1600;138,06;148,98;159,90;170,82;181,74;192,66;202,80;213,72;225,42;236,34;247,26;257,40;268,32;279,24;290,16;301,08;312,00;322,92;322,92
1700;144,30;156,00;166,92;178,62;189,54;200,46;212,16;223,08;234,78;246,48;257,40;269,10;280,02;291,72;302,64;313,56;325,26;336,96;336,96
1800;150,54;163,02;174,72;186,42;197,34;209,82;221,52;233,22;244,92;256,62;268,32;280,02;291,72;303,42;315,12;326,82;339,30;351,00;351,00
1900;157,56;170,04;181,74;194,22;205,92;218,40;230,88;242,58;255,06;266,76;279,24;291,72;303,42;315,90;327,60;340,08;352,56;365,04;365,04
2000;163,80;177,06;188,76;202,02;214,50;226,98;239,46;251,94;265,20;277,68;290,16;302,64;315,12;327,60;340,86;353,34;365,82;378,30;378,30
2100;170,82;183,30;196,56;209,82;223,08;235,56;248,82;261,30;275,34;287,82;301,08;313,56;326,82;340,08;353,34;366,60;379,08;392,34;392,34
2200;177,06;191,10;204,36;217,62;231,66;244,14;258,18;271,44;285,48;298,74;312,00;325,26;339,30;352,56;365,82;379,08;393,12;406,38;406,38
2300;184,08;198,12;211,38;225,42;239,46;253,50;267,54;280,80;295,62;308,88;322,92;336,96;351,00;365,04;378,30;392,34;406,38;420,42;420,42
2400;184,08;198,12;211,38;225,42;239,46;253,50;267,54;280,80;295,62;308,88;322,92;336,96;351,00;365,04;378,30;392,34;406,38;420,42;420,42
