Höhe   ;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
600;166,14;172,38;179,40;185,64;194,22;203,58;209,82;216,84;223,86;230,10;236,34;243,36;250,38;257,40;263,64;269,88;285,48;291,72;291,72
700;177,84;184,86;191,88;198,90;207,48;217,62;224,64;231,66;238,68;245,70;252,72;259,74;267,54;274,56;281,58;288,60;304,20;311,22;311,22
800;198,90;205,92;213,72;220,74;230,10;240,24;248,04;255,06;263,64;270,66;278,46;285,48;293,28;301,08;308,10;315,90;331,50;339,30;339,30
900;210,60;218,40;226,20;234,00;243,36;254,28;262,08;269,88;278,46;286,26;294,84;301,86;311,22;319,02;326,04;333,84;350,22;358,80;358,80
1000;223,86;232,44;241,02;248,82;258,96;269,88;278,46;286,26;295,62;303,42;312,00;319,80;329,94;337,74;345,54;354,12;371,28;379,08;379,08
1100;235,56;244,14;253,50;261,30;272,22;283,92;292,50;301,08;310,44;319,02;328,38;336,18;346,32;354,90;364,26;372,06;390,00;398,58;398,58
1200;248,82;257,40;266,76;276,12;287,04;298,74;307,32;316,68;326,82;336,18;344,76;354,12;364,26;373,62;382,20;391,56;409,50;418,08;418,08
1300;259,74;269,10;279,24;288,60;300,30;312,78;322,14;332,28;341,64;351,78;361,14;370,50;381,42;390,78;400,14;409,50;427,44;437,58;437,58
1400;273,78;283,92;294,06;304,20;315,90;329,16;339,30;348,66;359,58;368,94;379,86;389,22;400,92;410,28;420,42;430,56;449,28;458,64;458,64
1500;285,48;296,40;306,54;316,68;329,16;342,42;353,34;363,48;374,40;385,32;395,46;406,38;417,30;427,44;438,36;448,50;468,00;477,36;477,36
1600;304,20;315,12;326,04;336,96;349,44;363,48;374,40;385,32;396,24;407,16;418,08;429,00;440,70;451,62;462,54;473,46;492,96;503,88;503,88
1700;315,90;327,60;338,52;350,22;362,70;376,74;388,44;399,36;411,84;422,76;434,46;445,38;457,86;469,56;480,48;491,40;511,68;522,60;522,60
1800;332,28;343,20;355,68;367,38;381,42;395,46;407,16;418,86;431,34;443,04;454,74;466,44;478,92;490,62;502,32;514,02;534,30;546,78;546,78
1900;343,98;355,68;368,16;380,64;394,68;409,50;421,98;433,68;446,94;458,64;471,12;482,82;496,08;507,78;520,26;532,74;553,02;565,50;565,50
2000;343,98;355,68;368,16;380,64;394,68;409,50;421,98;433,68;446,94;458,64;471,12;482,82;496,08;507,78;520,26;532,74;553,02;565,50;565,50
