Höhe   ;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
600;172,54;179,76;186,98;194,21;203,03;212,66;219,89;226,31;234,33;240,75;247,17;254,39;262,42;268,84;276,06;282,48;299,33;305,75;305,75
700;186,18;192,60;199,82;207,85;216,68;227,91;234,33;241,55;250,38;256,80;264,83;272,05;280,07;287,30;294,52;302,54;318,59;325,01;325,01
800;207,85;215,87;223,10;230,32;240,75;251,18;259,21;266,43;275,26;283,28;291,31;299,33;306,56;314,58;322,61;330,63;347,48;354,71;354,71
900;219,89;227,91;236,74;244,76;254,39;266,43;274,46;282,48;291,31;299,33;308,16;316,19;325,82;333,04;341,06;349,89;366,74;375,57;375,57
1000;234,33;243,16;251,99;260,81;270,44;282,48;290,51;299,33;308,96;317,79;326,62;335,45;345,08;353,90;361,93;369,95;388,41;396,44;396,44
1100;246,37;255,20;264,83;273,65;285,69;296,93;305,75;315,38;325,01;334,64;343,47;352,30;362,73;371,56;381,19;390,02;407,67;417,30;417,30
1200;260,01;269,64;279,27;288,90;300,94;312,17;321,80;331,43;341,87;351,50;361,13;370,76;381,19;390,82;400,45;409,28;427,73;437,36;437,36
1300;272,05;281,68;292,91;302,54;314,58;327,42;337,05;347,48;357,92;368,35;377,98;387,61;398,84;408,47;418,91;428,54;447,80;458,23;458,23
1400;286,49;296,93;308,16;318,59;331,43;344,27;354,71;364,34;375,57;386,00;397,24;407,67;418,91;429,34;439,77;450,20;470,27;479,90;479,90
1500;299,33;310,57;321,00;331,43;345,08;358,72;369,95;380,39;391,62;402,86;414,09;425,33;436,56;446,99;458,23;468,66;489,53;499,96;499,96
1600;318,59;329,83;341,06;353,10;365,94;380,39;391,62;402,86;415,70;426,13;437,36;448,60;461,44;472,67;483,91;495,14;516,01;527,24;527,24
1700;330,63;342,67;354,71;366,74;380,39;394,83;406,87;418,10;430,94;442,98;454,22;466,25;479,09;491,13;502,37;513,60;535,27;546,50;546,50
1800;347,48;359,52;372,36;384,40;398,84;414,09;426,13;438,97;451,81;463,85;475,88;487,92;500,76;513,60;525,64;537,68;559,34;571,38;571,38
1900;361,13;373,16;386,00;398,84;413,29;429,34;441,38;453,41;467,86;479,90;493,54;505,58;519,22;532,06;544,10;557,74;578,60;590,64;590,64
2000;361,13;373,16;386,00;398,84;413,29;429,34;441,38;453,41;467,86;479,90;493,54;505,58;519,22;532,06;544,10;557,74;578,60;590,64;590,64
