Höhe   ;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200
600;306,54;313,56;320,58;326,82;342,42;358,80;365,82;372,06;378,30;385,32;393,12;399,36;406,38;411,84;418,86;426,66;435,24;442,26;448,50;455,52;462,54;462,54
700;326,04;332,28;340,86;347,10;362,70;379,08;387,66;393,90;400,92;407,94;416,52;422,76;429,78;437,58;444,60;452,40;460,98;468,78;475,80;482,04;489,06;489,06
800;358,80;366,60;373,62;382,20;397,02;414,96;421,98;429,78;437,58;444,60;453,18;460,98;468,00;475,80;482,82;491,40;500,76;508,56;516,36;523,38;531,18;531,18
900;378,30;386,10;393,90;401,70;418,08;436,02;443,82;451,62;460,20;468,00;476,58;484,38;492,18;500,76;508,56;517,14;527,28;535,08;542,88;550,68;558,48;558,48
1000;386,10;395,46;404,04;411,84;434,46;459,42;468,00;475,80;484,38;493,74;502,32;510,12;518,70;527,28;535,86;546,00;557,70;567,06;574,86;582,66;592,02;592,02
1100;406,38;415,74;424,32;433,68;457,08;480,48;489,84;497,64;507,00;516,36;524,94;534,30;542,88;552,24;560,82;571,74;584,22;592,02;601,38;610,74;618,54;618,54
1200;427,44;437,58;446,94;455,52;479,70;503,10;512,46;521,82;531,18;540,54;550,68;559,26;568,62;577,98;587,34;599,04;611,52;620,88;630,24;639,60;648,18;648,18
1300;446,94;457,08;466,44;475,80;499,98;524,94;533,52;542,88;553,02;563,16;573,30;583,44;592,80;602,94;611,52;624,00;637,26;646,62;655,98;666,12;676,26;676,26
1400;468,00;478,92;489,06;498,42;524,94;550,68;561,60;571,74;581,10;592,02;602,16;613,08;623,22;632,58;643,50;655,20;668,46;679,38;688,74;699,66;709,02;709,02
1500;489,06;499,98;510,90;521,04;546,00;572,52;583,44;593,58;604,50;614,64;625,56;636,48;646,62;656,76;667,68;680,16;694,20;705,12;716,04;726,18;737,10;737,10
1600;534,30;545,22;556,14;567,84;588,12;609,96;620,88;631,80;642,72;653,64;666,12;676,26;687,96;698,10;709,80;722,28;737,10;748,02;758,94;0;0;0
1700;553,02;564,72;576,42;587,34;608,40;631,02;641,94;653,64;665,34;677,04;688,74;699,66;712,14;722,28;733,98;748,02;762,06;0;0;0;0;0
1800;585,00;598,26;610,74;622,44;644,28;666,90;678,60;690,30;702,78;713,70;724,62;736,32;748,02;0;0;0;0;0;0;0;0;0
1900;585,00;598,26;610,74;622,44;644,28;666,90;678,60;690,30;702,78;713,70;724,62;736,32;748,02;0;0;0;0;0;0;0;0;0
