Höhe;600;700;800;900;1000;1100;1200;1300;1400;1500
1300;204,36;216,84;238,68;250,38;263,64;281,58;295,62;307,32;333,06;333,06
1400;211,38;223,86;245,70;258,96;273,00;290,94;304,98;317,46;343,20;343,20
1500;217,62;231,66;252,72;266,76;280,80;299,52;314,34;326,82;353,34;353,34
1600;248,04;261,30;283,14;296,40;311,22;329,94;347,10;360,36;383,76;383,76
1700;254,28;269,10;290,16;304,98;319,80;338,52;355,68;369,72;393,90;393,90
1800;261,30;275,34;297,96;312,78;327,60;347,10;364,26;379,08;404,04;404,04
1900;267,54;282,36;305,76;321,36;336,18;355,68;373,62;389,22;413,40;413,40
2000;276,12;291,72;315,12;330,72;346,32;366,60;385,32;400,14;425,10;425,10
2100;283,14;298,74;322,14;337,74;354,90;375,18;393,90;410,28;435,24;435,24
2200;283,14;298,74;322,14;337,74;354,90;375,18;393,90;410,28;435,24;435,24
