Höhe   ;4000;4100;4200;4300;4400;4500;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000
1600;6065;6118;6171;6224;6278;6331;6384;6437;6490;6543;6596;6649;6703;6756;6808;6860;6913;6966;7019;7072;7072
1700;6209;6263;6317;6371;6424;6477;6531;6586;6639;6692;6745;6798;6852;6906;6959;7013;7067;7121;7174;7227;7227
1800;6356;6410;6464;6518;6572;6626;6680;6734;6787;6841;6895;6949;7003;7057;7111;7165;7220;7274;7328;7382;7382
1900;6499;6554;6609;6665;6719;6773;6827;6881;6936;6992;7045;7099;7155;7210;7264;7318;7373;7428;7482;7537;7537
2000;6647;6701;6755;6809;6864;6919;6975;7030;7085;7140;7195;7251;7306;7361;7416;7471;7526;7581;7636;7691;7691
2100;6791;6846;6901;6956;7012;7068;7123;7178;7235;7291;7346;7401;7457;7513;7568;7623;7678;7733;7790;7846;7846
2200;6934;6990;7047;7103;7159;7215;7271;7327;7383;7440;7496;7552;7608;7664;7720;7776;7832;7888;7945;8001;8001
2300;7081;7137;7193;7249;7307;7364;7420;7475;7533;7590;7646;7702;7758;7814;7872;7929;7985;8041;8098;8155;8155
2400;7313;7370;7427;7484;7542;7599;7656;7713;7770;7827;7884;7941;7998;8056;8113;8170;8227;8284;8341;8398;8398
2500;7313;7370;7427;7484;7542;7599;7656;7713;7770;7827;7884;7941;7998;8056;8113;8170;8227;8284;8341;8398;8398
