Höhe   ;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;
600;103;103;109;119;125;132;144;150;157;167;174;181;188;198;205;211;218;224;231;
700;103;103;109;119;125;132;144;150;157;167;174;181;188;198;205;211;218;224;231;
800;109;109;116;126;134;140;153;160;167;178;185;192;199;210;217;224;231;238;245;
900;129;129;137;147;155;162;174;183;191;199;206;216;223;231;238;249;256;264;271;
1000;136;136;144;155;162;170;182;192;200;208;216;227;234;242;249;261;270;277;285;
1100;142;142;151;162;170;178;191;202;210;218;227;238;245;253;262;274;282;291;298;
1200;149;149;157;169;178;187;199;210;219;228;237;249;256;265;274;287;295;304;312;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
