"Maingroup";"Subgroup";"Subgroup Description";"Article code";"Color (remove ')";"Article Description";"Sales price";"Inside";"Outside";"Both sides"
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"boge_L";"";"Boge Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"boge_R";"";"Boge Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"canarina_L";"";"Canarina Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"canarina_R";"";"Canarina Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"Dora_L";"";"Dora Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"Dora_R";"";"Dora Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"IberisIIX_L";"";"Iberis IIX Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"IberisIIX_R";"";"Iberis IIX Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"IberisII_L";"";"Iberis II Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"IberisII_R";"";"Iberis II Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"IberisIX_L";"";"Iberis IX Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"IberisIX_R";"";"Iberis IX Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"IberisV_L";"";"Iberis V Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"IberisV_R";"";"Iberis V Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"Iberis_L";"";"Iberis Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"Iberis_R";"";"Iberis Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"juna_L";"";"Juna Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"juna_R";"";"Juna Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"kurkuma_L";"";"Kurkuma Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"kurkuma_R";"";"Kurkuma Din Rechts 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"maya_II_L";"";"Maya II Din Links 40mm";0;no;no;yes
"Gls";"ACT";"AC Therm Aluminium Türfüllungen";"maya_II_R";"";"Maya II Din Rechts 40mm";0;no;no;yes
