"Sungate Suppl.No";"Mr/Mrs";"Name";"Surname";"Street";"City";"Postal code";"Country code";"Phone";"Mobile";"Email";"Fax";"VAT code"
1;"";"Salamander";"";"";"";"";"";"";"";"";"";1
2;"";"Somfy";"";"";"";"";"";"";"";"";"";1
3;"";"Glaslieferant";"";"";"";"";"";"";"";"";"";1
97;"Fa";"INOTEC";"";"";"";"";"";"";"";"";"";1
98;"Fa";"Isotra";"";"";"Tschechien";"";"";"";"";"";"";1
99;"";"Unbekannter Lieferant";"";"";"";"";"";"";"";"";"";1
100;"Fa";"MADRUGADA";"";"";"";"";"ROM";"";"";"";"";1
101;"Fa";"PORTOS";"";"";"";"";"";"";"";"";"";1
110;"Fa";"Ofschenka GmbH";"";"Hutt-Keller-Str. 15";"Welzheim";"73642";"";"07182-7243";"";"info@ofschenka.de";"07182-6276";1
120;"Fa";"Rekord";"";"";"";"";"HU";"";"";"";"";1
130;"Fa";"Inotherm";"";"";"";"";"";"";"";"";"";1
150;"Fa";"AC-Therm";"";"";"";"";"";"";"";"";"";1
8888888;"";"_Sun Lieferant";"";"";"";"";"";"";"";"";"";1
