"Id";"Text"
"";"Anzahlung 30% rest 10 Tage nach Lieferung mit 3% Skonto"
"30n";"rein netto 30 Tage nach Lieferung"
"3sk";"3 % Skonto - Bankeinzug 10 Tage nach Lieferung"
"446";"20% Vorauskasse,Rest 10 Tage nach Lieferung"
"ALM";"Anzahlung bei Bestellung 40% , 40 % nach Lieferung und 20 % nach Abnahme. "
"ALN";"Anzahlung 50% bei Bestellung, 30% bei Lieferung und 20% nach Montage-Abnahme"
"als";""
"ASK";"Anzahlung 40% - Rest 10 Tage nach Lieferung mit 3% Skonto"
"bar";"Bar bei Lieferung"
"BE";"per Bankeinzug 10 Tage nach Lieferung"
"BEZ";"Bankeinzug bei/nach Lieferung mit 3% Skonto"
"cbl";"cash bei lieferung"
"L0";"Zahlbar bei Lieferung 100 % ohne Abzug"
"L1";"10 Tage 3 % Skonto, 30 Tage netto"
"M3";"Nach Montage 3 % Skonto (Abnahme innert 3 Tage nach Montage)"
"NMT";"Zahlung sofort nach Abnahme  -4% Skonto"
"Re1";"Rechnung"
"re2";"Rechnung zahlbar nach 14 Tagen"
"SE1";"50% bei Bestellung - 50% vor Abholung "
"SE2";"90% bei Bestellung - 10% bei vor Abholung"
"SK";"Anzahlung 30% rest 10 Tage nach Lieferung mit 3% Skonto"
"tr1";"hvkuzffzuzf"
"VZ";"Vorauszahlung"
"VZ2";"50% Vorkasse
50% bei Lieferung"
"VZ3";"50 % bei Bestellung und 50 % bei Lieferung mit 2 % Skonto"
"VZ5";"50 % bei Bestellung und 50 % bei Lieferung mit 5 % Skonto"
"xx";""
